rt-td,rt-td 2,team-name,rt-td 3,rt-td 4,rt-td 5,rt-td 6,rt-td 7,rt-td 8,rt-td 9,rt-td 10,rt-td 11,
1,Rasmus Dahlin,Buffalo Sabres,1,1,D,SWE,"6' 2""",185,SWEDEN,Frolunda,,FALSE
2,Andrei Svechnikov,Carolina Hurricanes,1,2,RW,RUS,"6' 2""",192,OHL,Barrie,,
3,Jesperi Kotkaniemi,Montréal Canadiens,1,3,C,FIN,"6' 2""",181,FINLAND,Assat,,
4,Brady Tkachuk,Ottawa Senators,1,4,LW,USA,"6' 3""",192,H-EAST,Boston University,,
5,Barrett Hayton,Arizona Coyotes,1,5,C,CAN,"6' 1""",190,OHL,Sault Ste. Marie,,
6,Filip Zadina,Detroit Red Wings,1,6,RW,CZE,"6' 0""",197,QMJHL,Halifax,,
7,Quinn Hughes,Vancouver Canucks,1,7,D,USA,"5' 9""",173,BIG10,Michigan,,
8,Adam Boqvist,Chicago Blackhawks,1,8,D,SWE,"5' 11""",165,SWEDEN-JR.,Brynas Jr.,,
9,Vitali Kravtsov,New York Rangers,1,9,RW,RUS,"6' 2""",184,RUSSIA,Chelyabinsk,,
10,Evan Bouchard,Edmonton Oilers,1,10,D,CAN,"6' 2""",196,OHL,London,,
11,Oliver Wahlstrom,New York Islanders,1,11,RW,USA,"6' 1""",208,NTDP,USA U-18,,
12,Noah Dobson,New York Islanders,1,12,,D,CAN,"6' 3""",QMJHL,Acadie-Bathurst,177,
13,Ty Dellandrea,Dallas Stars,1,13,C,CAN,"6' 0""",184,OHL,Flint,,
14,Joel Farabee,Philadelphia Flyers,1,14,,LW,USA,"6' 0""",NTDP,USA U-18,162,
15,Grigori Denisenko,Florida Panthers,1,15,LW,RUS,"5' 10""",172,RUSSIA-JR.,Yaroslavl 2,,
16,Martin Kaut,Colorado Avalanche,1,16,RW,CZE,"6' 1""",176,CZREP,Pardubice,,
17,Ty Smith,New Jersey Devils,1,17,D,CAN,"5' 10""",176,WHL,Spokane,,
18,Liam Foudy,Columbus Blue Jackets,1,18,C,CAN,"6' 0""",174,OHL,London,,
19,Jay O'Brien,Philadelphia Flyers,1,19,C,USA,"5' 10""",176,HIGH-MA,Thayer Academy,,
20,Rasmus Kupari,Los Angeles Kings,1,20,C,FIN,"6' 1""",189,FINLAND,Karpat,,
21,Ryan Merkley,San Jose Sharks,1,21,D,CAN,"5' 11""",168,OHL,Guelph,,
22,K'Andre Miller,New York Rangers,1,22,,D,USA,"6' 3""",NTDP,USA U-18,198,
23,Isac Lundestrom,Anaheim Ducks,1,23,C,SWE,"6' 0""",183,SWEDEN,Lulea,,
24,Filip Johansson,Minnesota Wild,1,24,D,SWE,"6' 0""",176,SWEDEN-JR.,Leksand Jr.,,
25,Dominik Bokk,St. Louis Blues,1,25,,RW,DEU,"6' 1""",SWEDEN-JR.,Vaxjo Jr.,176,
26,Jacob Bernard-Docker,Ottawa Senators,1,26,,D,CAN,"6' 0""",AJHL,Okotoks,187,
27,Nicolas Beaudin,Chicago Blackhawks,1,27,,D,CAN,"5' 10""",QMJHL,Drummondville,172,
28,Nils Lundkvist,New York Rangers,1,28,,D,SWE,"5' 11""",SWEDEN,Lulea,172,
29,Rasmus Sandin,Toronto Maple Leafs,1,29,,D,SWE,"5' 11""",OHL,Sault Ste. Marie,186,
30,Joe Veleno,Detroit Red Wings,1,30,,C,CAN,"6' 1""",QMJHL,Drummondville,191,
31,Alexander Alexeyev,Washington Capitals,1,31,D,RUS,"6' 3""",196,WHL,Red Deer,,
32,Mattias Samuelsson,Buffalo Sabres,2,1,D,USA,"6' 4""",218,NTDP,USA U-18,,
33,Jonatan Berggren,Detroit Red Wings,2,2,,RW,SWE,"5' 10""",SWEDEN-JR.,Skelleftea Jr.,181,
34,Serron Noel,Florida Panthers,2,3,,RW,CAN,"6' 5""",OHL,Oshawa,204,
35,Jesse Ylonen,Montréal Canadiens,2,4,RW,USA,"6' 0""",167,FINLAND-2,Espoo,,
36,Jared McIsaac,Detroit Red Wings,2,5,D,CAN,"6' 1""",189,QMJHL,Halifax,,
37,Jett Woo,Vancouver Canucks,2,6,D,CAN,"6' 0""",200,WHL,Moose Jaw,,
38,Alexander Romanov,Montréal Canadiens,2,7,,D,RUS,"5' 11""",RUSSIA-JR.,CSKA 2,185,
39,Olof Lindbom,New York Rangers,2,8,G,SWE,"6' 0""",173,SWEDEN-JR.,Djurgarden Jr.,,
40,Ryan McLeod,Edmonton Oilers,2,9,C,CAN,"6' 2""",206,OHL,Mississauga,,
41,Bode Wilde,New York Islanders,2,10,D,CAN,"6' 2""",198,NTDP,USA U-18,,
42,Jack Drury,Carolina Hurricanes,2,11,C,USA,"5' 11""",174,USHL,Waterloo,,
43,Ruslan Iskhakov,New York Islanders,2,12,,C,RUS,"5' 7""",RUSSIA-JR.,CSKA 2,152,
44,Albin Eriksson,Dallas Stars,2,13,RW,SWE,"6' 4""",207,SWEDEN-JR.,Skelleftea Jr.,,
45,Scott Perunovich,St. Louis Blues,2,14,D,USA,"5' 9""",172,NCHC,Minnesota-Duluth,,
46,Martin Fehervary,Washington Capitals,2,15,,D,SVK,"6' 1""",SWEDEN-2,Oskarshamn,194,
47,Kody Clark,Washington Capitals,2,16,,RW,USA,"6' 1""",OHL,Ottawa,179,
48,Jonathan Tychonick,Ottawa Senators,2,17,,D,CAN,"5' 11""",BCHL,Penticton,177,
49,Kirill Marchenko,Columbus Blue Jackets,2,18,RW,RUS,"6' 3""",187,RUSSIA-JR.,Khanty-Mansiysk 2,,
50,Adam Ginning,Philadelphia Flyers,2,19,D,SWE,"6' 4""",206,SWEDEN,Linkoping,,
51,Akil Thomas,Los Angeles Kings,2,20,C,CAN,"5' 11""",177,OHL,Niagara,,
52,Sean Durzi,Toronto Maple Leafs,2,21,,D,CAN,"6' 0""",OHL,Owen Sound,188,
53,Calen Addison,Pittsburgh Penguins,2,22,D,CAN,"5' 10""",178,WHL,Lethbridge,,
54,Benoit-Olivier Groulx,Anaheim Ducks,2,23,C,CAN,"6' 1""",193,QMJHL,Halifax,,
55,Kevin Bahl,Arizona Coyotes,2,24,,D,CAN,"6' 6""",OHL,Ottawa,216,
56,Jacob Olofsson,Montréal Canadiens,2,25,,C,SWE,"6' 2""",SWEDEN-2,Timra,189,
57,Axel Andersson,Boston Bruins,2,26,D,SWE,"5' 11""",178,SWEDEN-JR.,Djurgarden Jr.,,
58,Filip Hallander,Pittsburgh Penguins,2,27,,C,SWE,"6' 1""",SWEDEN-2,Timra,188,
59,Gabriel Fortier,Tampa Bay Lightning,2,28,LW,CAN,"5' 10""",170,QMJHL,Baie Comeau,,
60,David Gustafsson,Winnipeg Jets,2,29,C,SWE,"6' 1""",196,SWEDEN,HV 71,,
61,Ivan Morozov,Vegas Golden Knights,2,30,C,RUS,"6' 1""",178,RUSSIA-JR.,Khanty-Mansiysk 2,,
62,Olivier Rodrigue,Edmonton Oilers,2,31,,G,CAN,"6' 1""",QMJHL,Drummondville,156,
63,Jack McBain,Minnesota Wild,3,1,,C,CAN,"6' 3""",OJHL,Toronto JC,201,
64,Justus Annunen,Colorado Avalanche,3,2,,G,FIN,"6' 4""",FINLAND-JR.,Karpat Jr.,217,
65,Jan Jenik,Arizona Coyotes,3,3,RW,CZE,"6' 1""",171,CZREP-2,Benatky N. J.,,
66,Cam Hillis,Montréal Canadiens,3,4,C,CAN,"5' 9""",168,OHL,Guelph,,
67,Alec Regula,Detroit Red Wings,3,5,D,USA,"6' 3""",203,OHL,London,,
68,Tyler Madden,Vancouver Canucks,3,6,C,USA,"5' 10""",150,USHL,Tri-City,,
69,Jake Wise,Chicago Blackhawks,3,7,C,USA,"5' 10""",195,NTDP,USA U-18,,
70,Jacob Ragnarsson,New York Rangers,3,8,D,USA,"6' 0""",176,SWEDEN-2,Almtuna,,
71,Jordan Harris,Montréal Canadiens,3,9,,D,USA,"5' 10""",HIGH-NH,Kimball Union Academy,179,
72,Jakub Skarek,New York Islanders,3,10,G,CZE,"6' 3""",192,CZREP,Jihlava,,
73,Ty Emberson,Arizona Coyotes,3,11,,D,USA,"6' 0""",NTDP,USA U-18,200,
74,Niklas Nordgren,Chicago Blackhawks,3,12,,RW,FIN,"5' 9""",FINLAND-JR.,HIFK Jr.,169,
75,Oskar Back,Dallas Stars,3,13,C,SWE,"6' 3""",204,SWEDEN-JR.,Farjestad Jr.,,
76,Semyon Der-Arguchintsev,Toronto Maple Leafs,3,14,,C,RUS,"5' 9""",OHL,Peterborough,159,
77,Jakub Lauko,Boston Bruins,3,15,,C,CZE,"6' 0""",CZREP,Chomutov,179,
78,Sampo Ranta,Colorado Avalanche,3,16,LW,FIN,"6' 1""",199,USHL,Sioux City,,
79,Blake McLaughlin,Anaheim Ducks,3,17,,LW,USA,"6' 0""",USHL,Chicago,157,
80,Marcus Karlberg,Columbus Blue Jackets,3,18,LW,SWE,"5' 7""",165,SWEDEN-JR.,Leksand Jr.,,
81,Seth Barton,Detroit Red Wings,3,19,,D,CAN,"6' 2""",BCHL,Trail,174,
82,Bulat Shafigullin,Los Angeles Kings,3,20,LW,RUS,"6' 1""",165,RUSSIA-JR.,Nizhnekamsk 2,,
83,Riley Stotts,Toronto Maple Leafs,3,21,,C,CAN,"6' 0""",WHL,Calgary,172,
84,Jesper Eliasson,Detroit Red Wings,3,22,,G,SWE,"6' 3""",SWEDEN-JR. 2,Troja-Ljungby Jr.,209,
85,Lukas Dostal,Anaheim Ducks,3,23,G,CZE,"6' 1""",166,CZREP-2,Trebic,,
86,Alexander Khovanov,Minnesota Wild,3,24,C,RUS,"5' 10""",198,QMJHL,Moncton,,
87,Linus Karlsson,San Jose Sharks,3,25,,C,SWE,"6' 1""",SWEDEN-JR.,Karlskrona Jr.,178,
88,Joey Keane,New York Rangers,3,26,,D,USA,"6' 0""",OHL,Barrie,180,
89,Logan Hutsko,Florida Panthers,3,27,,RW,USA,"5' 9""",H-EAST,Boston College,172,
90,Dmitry Semykin,Tampa Bay Lightning,3,28,D,RUS,"6' 3""",201,RUSSIA-JR.,Stupino 2,,
91,Nathan Smith,Winnipeg Jets,3,29,C,USA,"5' 11""",177,USHL,Cedar Rapids,,
92,Connor Dewar,Minnesota Wild,3,30,,C,CAN,"5' 10""",WHL,Everett,177,
93,Riley Sutter,Washington Capitals,3,31,RW,CAN,"6' 3""",203,WHL,Everett,,
94,Matej Pekar,Buffalo Sabres,4,1,C,CZE,"6' 0""",170,USHL,Muskegon,,
95,Jonathan Gruden,Ottawa Senators,4,2,C,USA,"6' 0""",169,N/A,,,
96,Luke Henman,Carolina Hurricanes,4,3,,C,CAN,"5' 11""",QMJHL,Blainville-Boisbriand,150,
97,Allan McShane,Montréal Canadiens,4,4,,C,CAN,"5' 10""",OHL,Oshawa,185,
98,Ryan O'Reilly,Detroit Red Wings,4,5,RW,USA,"6' 1""",201,USHL,Madison,,
99,Stanislav Demin,Vegas Golden Knights,4,6,,D,USA,"6' 1""",BCHL,Wenatchee,190,
100,Adam Mascherin,Dallas Stars,4,7,,LW,CAN,"5' 9""",OHL,Kitchener,197,
101,Nico Gross,New York Rangers,4,8,D,CHE,"6' 0""",185,OHL,Oshawa,,
102,Jasper Weatherby,San Jose Sharks,4,9,,C,USA,"6' 3""",BCHL,Wenatchee,202,
103,Jacob Pivonka,New York Islanders,4,10,C,USA,"5' 11""",201,NTDP,USA U-18,,
104,Lenni Killinen,Carolina Hurricanes,4,11,RW,FIN,"6' 1""",180,FINLAND-JR.,Blues Jr.,,
105,Martin Pospisil,Calgary Flames,4,12,C,SVK,"6' 1""",173,USHL,Sioux City,,
106,Curtis Douglas,Dallas Stars,4,13,C,CAN,"6' 8""",248,OHL,Windsor,,
107,Joel Hofer,St. Louis Blues,4,14,G,CAN,"6' 3""",160,WHL,Swift Current,,
108,Demetrios Koumontzis,Calgary Flames,4,15,,LW,USA,"5' 9""",HIGH-MN,Edina,183,
109,Tyler Weiss,Colorado Avalanche,4,16,LW,USA,"5' 10""",151,NTDP,USA U-18,,
110,Xavier Bernard,New Jersey Devils,4,17,D,CAN,"6' 2""",202,QMJHL,Drummondville,,
111,Jachym Kondelik,Nashville Predators,4,18,,C,DEU,"6' 6""",USHL,Muskegon,226,
112,Jack St. Ivany,Philadelphia Flyers,4,19,D,USA,"6' 2""",198,USHL,Sioux Falls,,
113,Aidan Dudas,Los Angeles Kings,4,20,C,CAN,"5' 7""",164,OHL,Owen Sound,,
