rt-td,rt-td 2,rt-td href,team-display-link href,team-logo src,team-name,rt-td 3,rt-td 4,rt-td 5,,rt-td 6,rt-td 7,rt-td 8,rt-td 9,rt-td 10,rt-td 11
1,Jack Hughes,https://www.nhl.com/player/jack-hughes-8481559,https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey Devils,1,1,C,C,USA,"5' 10""",171,NTDP,USA U-18,
2,Kaapo Kakko,https://www.nhl.com/player/kaapo-kakko-8481554,https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,New York Rangers,1,2,RW,RW,FIN,"6' 2""",194,FINLAND,TPS,
3,Kirby Dach,https://www.nhl.com/player/kirby-dach-8481523,https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,Chicago Blackhawks,1,3,C,C,CAN,"6' 4""",198,WHL,Saskatoon,
4,Bowen Byram,https://www.nhl.com/player/bowen-byram-8481524,https://records.nhl.com/col/franchises/colorado-avalanche/draft-selections,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,Colorado Avalanche,1,4,OTT-COL,,D,CAN,"6' 0""",WHL,Vancouver,195
5,Alex Turcotte,https://www.nhl.com/player/alex-turcotte-8481532,https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles Kings,1,5,C,C,USA,"5' 11""",186,NTDP,USA U-18,
6,Moritz Seider,https://www.nhl.com/player/moritz-seider-8481542,https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit Red Wings,1,6,D,D,DEU,"6' 3""",208,GERMANY,Mannheim,
7,Dylan Cozens,https://www.nhl.com/player/dylan-cozens-8481528,https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections,https://assets.nhle.com/logos/nhl/svg/BUF_20102011-20192020_light.svg,Buffalo Sabres,1,7,C,C,CAN,"6' 3""",183,WHL,Lethbridge,
8,Philip Broberg,https://www.nhl.com/player/philip-broberg-8481598,https://records.nhl.com/edm/franchises/edmonton-oilers/draft-selections,https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg,Edmonton Oilers,1,8,D,D,SWE,"6' 3""",200,SWEDEN-2,AIK,
9,Trevor Zegras,https://www.nhl.com/player/trevor-zegras-8481533,https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,Anaheim Ducks,1,9,C,C,USA,"6' 0""",173,NTDP,USA U-18,
10,Vasily Podkolzin,https://www.nhl.com/player/vasily-podkolzin-8481617,https://records.nhl.com/van/franchises/vancouver-canucks/draft-selections,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver Canucks,1,10,RW,RW,RUS,"6' 0""",196,RUSSIA-2,Neva St. Petersburg,
11,Victor Soderstrom,https://www.nhl.com/player/victor-soderstrom-8481599,https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections,https://assets.nhle.com/logos/nhl/svg/ARI_20142015-20202021_light.svg,Arizona Coyotes,1,11,PHI-ARI,,D,SWE,"6' 0""",SWEDEN,Brynas,182
12,Matt Boldy,https://www.nhl.com/player/matt-boldy-8481557,https://records.nhl.com/min/franchises/minnesota-wild/draft-selections,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,Minnesota Wild,1,12,LW,LW,USA,"6' 2""",196,NTDP,USA U-18,
