rt-td,rt-td 2,team-name,rt-td 3,rt-td 4,rt-td 5,,rt-td 6,rt-td 7,,rt-td 8,, ,rt-td 8,rt-td 9,rt-td 10,rt-td 11
1,Alexis Lafrenière,New York Rangers,1,1,LW,LW,CAN,"6' 1""","6' 1""",193,,"6' 1"" ",193,QMJHL,Rimouski,
2,Quinton Byfield,Los Angeles Kings,1,2,C,C,CAN,"6' 4""","6' 4""",215,,"6' 4"" ",215,OHL,Sudbury,
3,Tim Stützle,Ottawa Senators,1,3,SJS-OTT,,LW,DEU,,"6' 1""","6' 1"""," 6' 1""",,GERMANY,Mannheim,187
4,Lucas Raymond,Detroit Red Wings,1,4,LW,LW,SWE,"5' 11""","5' 11""",170,,"5' 11"" ",170,SWEDEN,Frolunda,
5,Jake Sanderson,Ottawa Senators,1,5,D,D,USA,"6' 1""","6' 1""",185,,"6' 1"" ",185,NTDP,USA U-18,
6,Jamie Drysdale,Anaheim Ducks,1,6,D,D,CAN,"5' 11""","5' 11""",175,,"5' 11"" ",175,OHL,Erie,
7,Alexander Holtz,New Jersey Devils,1,7,RW,RW,SWE,"5' 11""","5' 11""",192,,"5' 11"" ",192,SWEDEN,Djurgarden,
8,Jack Quinn,Buffalo Sabres,1,8,RW,RW,CAN,"6' 0""","6' 0""",176,,"6' 0"" ",176,OHL,Ottawa,
9,Marco Rossi,Minnesota Wild,1,9,C,C,AUT,"5' 9""","5' 9""",183,,"5' 9"" ",183,OHL,Ottawa,
10,Cole Perfetti,Winnipeg Jets,1,10,C,C,CAN,"5' 10""","5' 10""",177,,"5' 10"" ",177,OHL,Saginaw,
11,Yaroslav Askarov,Nashville Predators,1,11,G,G,RUS,"6' 3""","6' 3""",176,,"6' 3"" ",176,RUSSIA-2,Neva St. Petersburg,
12,Anton Lundell,Florida Panthers,1,12,C,C,FIN,"6' 1""","6' 1""",185,,"6' 1"" ",185,FINLAND,HIFK,
13,Seth Jarvis,Carolina Hurricanes,1,13,TOR-CAR,,C,CAN,,"5' 9""","5' 9"""," 5' 9""",,WHL,Portland,175
14,Dylan Holloway,Edmonton Oilers,1,14,C,C,CAN,"6' 0""","6' 0""",203,,"6' 0"" ",203,BIG10,Wisconsin,
15,Rodion Amirov,Toronto Maple Leafs,1,15,PIT-TOR,,LW,RUS,,"6' 0""","6' 0"""," 6' 0""",,RUSSIA,Ufa,177
16,Kaiden Guhle,Montréal Canadiens,1,16,D,D,CAN,"6' 2""","6' 2""",186,,"6' 2"" ",186,WHL,Prince Albert,
17,Lukas Reichel,Chicago Blackhawks,1,17,LW,LW,DEU,"6' 0""","6' 0""",170,,"6' 0"" ",170,GERMANY,Eisbaren Berlin,
18,Dawson Mercer,New Jersey Devils,1,18,ARI-NJD,,C,CAN,,"6' 0""","6' 0"""," 6' 0""",,QMJHL,Chicoutimi,180
19,Braden Schneider,New York Rangers,1,19,CGY-NYR,,D,CAN,,"6' 2""","6' 2"""," 6' 2""",,WHL,Brandon,202
20,Shakir Mukhamadullin,New Jersey Devils,1,20,VAN-TBL-NJD,,D,RUS,,"6' 3""","6' 3"""," 6' 3""",,RUSSIA,Ufa,178
21,Yegor Chinakhov,Columbus Blue Jackets,1,21,RW,RW,RUS,"6' 0""","6' 0""",178,,"6' 0"" ",178,RUSSIA-JR.,Omsk 2,
22,Hendrix Lapierre,Washington Capitals,1,22,CAR-NYR-CGY-WSH,,C,CAN,,"5' 11""","5' 11"""," 5' 11""",,QMJHL,Chicoutimi,179
23,Tyson Foerster,Philadelphia Flyers,1,23,RW,RW,CAN,"6' 1""","6' 1""",194,,"6' 1"" ",194,OHL,Barrie,
24,Connor Zary,Calgary Flames,1,24,WSH-CGY,,C,CAN,,"6' 0""","6' 0"""," 6' 0""",,WHL,Kamloops,178
25,Justin Barron,Colorado Avalanche,1,25,D,D,CAN,"6' 1""","6' 1""",195,,"6' 1"" ",195,QMJHL,Halifax,
26,Jake Neighbours,St. Louis Blues,1,26,LW,LW,CAN,"5' 11""","5' 11""",195,,"5' 11"" ",195,WHL,Edmonton,
27,Jacob Perreault,Anaheim Ducks,1,27,BOS-ANA,,RW,CAN,,"5' 11""","5' 11"""," 5' 11""",,OHL,Sarnia,192
28,Ridly Greig,Ottawa Senators,1,28,NYI-OTT,,C,CAN,,"5' 11""","5' 11"""," 5' 11""",,WHL,Brandon,163
29,Brendan Brisson,Vegas Golden Knights,1,29,C,C,USA,"5' 10""","5' 10""",179,,"5' 10"" ",179,USHL,Chicago,
30,Mavrik Bourque,Dallas Stars,1,30,C,C,CAN,"5' 10""","5' 10""",178,,"5' 10"" ",178,QMJHL,Shawinigan,
31,Ozzy Wiesblatt,San Jose Sharks,1,31,TBL-SJS,,C,CAN,,"5' 9""","5' 9"""," 5' 9""",,WHL,Prince Albert,183
32,William Wallinder,Detroit Red Wings,2,1,D,D,SWE,"6' 4""","6' 4""",191,,"6' 4"" ",191,SWEDEN-JR.,Modo Jr.,
33,Roby Jarventie,Ottawa Senators,2,2,LW,LW,FIN,"6' 2""","6' 2""",191,,"6' 2"" ",191,FINLAND-2,Koovee,
34,JJ Peterka,Buffalo Sabres,2,3,SJS-BUF,,RW,DEU,,"5' 11""","5' 11"""," 5' 11""",,GERMANY,Munchen,192
35,Helge Grans,Los Angeles Kings,2,4,D,D,SWE,"6' 2""","6' 2""",206,,"6' 2"" ",206,SWEDEN-JR.,Malmo Jr.,
36,Sam Colangelo,Anaheim Ducks,2,5,RW,RW,USA,"6' 1""","6' 1""",205,,"6' 1"" ",205,USHL,Chicago,
37,Marat Khusnutdinov,Minnesota Wild,2,6,NJD-NSH-MIN,,C,RUS,,"5' 11""","5' 11"""," 5' 11""",,RUSSIA-JR.,SKA St. Petersburg 2,176
38,Thomas Bordeleau,San Jose Sharks,2,7,BUF-SJS,,C,USA,,"5' 9""","5' 9"""," 5' 9""",,NTDP,USA U-18,175
39,Ryan O'Rourke,Minnesota Wild,2,8,D,D,CAN,"6' 0""","6' 0""",178,,"6' 0"" ",178,OHL,Sault Ste. Marie,
40,Daniel Torgersson,Winnipeg Jets,2,9,LW,LW,SWE,"6' 2""","6' 2""",199,,"6' 2"" ",199,SWEDEN-JR.,Frolunda Jr.,
41,Noel Gunler,Carolina Hurricanes,2,10,NYR-CAR,,RW,SWE,,"6' 2""","6' 2"""," 6' 2""",,SWEDEN,Lulea,176
42,Luke Evangelista,Nashville Predators,2,11,RW,RW,CAN,"5' 11""","5' 11""",166,,"5' 11"" ",166,OHL,London,
43,Emil Heineman,Florida Panthers,2,12,LW,LW,SWE,"6' 1""","6' 1""",185,,"6' 1"" ",185,SWEDEN-JR.,Leksand Jr.,
44,Tyler Kleven,Ottawa Senators,2,13,TOR-OTT,,D,USA,,"6' 4""","6' 4"""," 6' 4""",,NTDP,USA U-18,200
45,Brock Faber,Los Angeles Kings,2,14,EDM-DET-LAK,,D,USA,,"6' 0""","6' 0"""," 6' 0""",,NTDP,USA U-18,190
46,Drew Commesso,Chicago Blackhawks,2,15,PIT-VGK-CHI,,G,USA,,"6' 2""","6' 2"""," 6' 2""",,NTDP,USA U-18,180
47,Luke Tuch,Montréal Canadiens,2,16,LW,LW,USA,"6' 2""","6' 2""",203,,"6' 2"" ",203,NTDP,USA U-18,
48,Jan Mysak,Montréal Canadiens,2,17,CHI-MTL,,C,CZE,,"5' 10""","5' 10"""," 5' 10""",,OHL,Hamilton,175
49,Void,Arizona Coyotes,2,18,N/A,N/A,N/A,,,,, ,0,N/A,,
50,Yan Kuznetsov,Calgary Flames,2,19,D,D,RUS,"6' 4""","6' 4""",209,,"6' 4"" ",209,H-EAST,UConn,
51,Theodor Niederbach,Detroit Red Wings,2,20,VAN-LAK-DET,,C,SWE,,"5' 11""","5' 11"""," 5' 11""",,SWEDEN-JR.,Frolunda Jr.,172
52,Joel Blomqvist,Pittsburgh Penguins,2,21,CBJ-OTT-PIT,,G,FIN,,"6' 1""","6' 1"""," 6' 1""",,FINLAND-JR.,Karpat Jr.,183
53,Vasily Ponomarev,Carolina Hurricanes,2,22,C,C,RUS,"5' 10""","5' 10""",180,,"5' 10"" ",180,QMJHL,Shawinigan,
54,Emil Andrae,Philadelphia Flyers,2,23,D,D,SWE,"5' 8""","5' 8""",181,,"5' 8"" ",181,SWEDEN-JR.,HV 71 Jr.,
55,Cross Hanas,Detroit Red Wings,2,24,WSH-DET,,LW,USA,,"6' 0""","6' 0"""," 6' 0""",,WHL,Portland,167
56,Tristen Robins,San Jose Sharks,2,25,COL-WSH-SJS,,C,GBR,,"5' 10""","5' 10"""," 5' 10""",,WHL,Saskatoon,176
57,Jack Finley,Tampa Bay Lightning,2,26,STL-MTL-TBL,,C,USA,,"6' 5""","6' 5"""," 6' 5""",,WHL,Spokane,213
58,Mason Lohrei,Boston Bruins,2,27,D,D,USA,"6' 3""","6' 3""",195,,"6' 3"" ",195,USHL,Green Bay,
59,Roni Hirvonen,Toronto Maple Leafs,2,28,NYI-OTT-TOR,,C,FIN,,"5' 9""","5' 9"""," 5' 9""",,FINLAND,Assat,170
60,Will Cuylle,New York Rangers,2,29,VGK-LAK-NYR,,LW,CAN,,"6' 2""","6' 2"""," 6' 2""",,OHL,Windsor,204
61,Egor Sokolov,Ottawa Senators,2,30,DAL-VGK-OTT,,LW,RUS,,"6' 4""","6' 4"""," 6' 4""",,QMJHL,Cape Breton,235
62,Gage Goncalves,Tampa Bay Lightning,2,31,C,C,CAN,"6' 0""","6' 0""",165,,"6' 0"" ",165,WHL,Everett,
63,Donovan Sebrango,Detroit Red Wings,3,1,D,D,CAN,"6' 1""","6' 1""",189,,"6' 1"" ",189,OHL,Kitchener,
64,Topi Niemela,Toronto Maple Leafs,3,2,OTT-TOR,,D,FIN,,"5' 11""","5' 11"""," 5' 11""",,FINLAND,Karpat,162
65,Daemon Hunt,Minnesota Wild,3,3,SJS-DET-MIN,,D,CAN,,"6' 0""","6' 0"""," 6' 0""",,WHL,Moose Jaw,198
66,Kasper Simontaival,Los Angeles Kings,3,4,RW,RW,FIN,"5' 7""","5' 7""",179,,"5' 7"" ",179,FINLAND-JR.,Tappara Jr.,
67,Ian Moore,Anaheim Ducks,3,5,D,D,USA,"6' 2""","6' 2""",171,,"6' 2"" ",171,HIGH-MA,St. Mark's School,
