"rt-td","rt-td 2","rt-td href","team-display-link href","team-logo src","team-name","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7","rt-td 8","rt-td 9","rt-td 10","rt-td 11"
"1","Juraj Slafkovsky","https://www.nhl.com/player/juraj-slafkovsky-8483515","https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections","https://assets.nhle.com/logos/nhl/svg/MTL_light.svg","Montréal Canadiens","1","1","LW","SVK","6' 4""","229","FINLAND","TPS",""
"2","Simon Nemec","https://www.nhl.com/player/simon-nemec-8483495","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","1","2","D","SVK","6' 0""","199","SLOVAKIA","Nitra",""
"3","Logan Cooley","https://www.nhl.com/player/logan-cooley-8483431","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","1","3","C","USA","5' 10""","180","NTDP","USA U-18",""
"4","Shane Wright","https://www.nhl.com/player/shane-wright-8483524","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","1","4","C","CAN","6' 0""","199","OHL","Kingston",""
"5","Cutter Gauthier","https://www.nhl.com/player/cutter-gauthier-8483445","https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections","https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg","Philadelphia Flyers","1","5","LW","SWE","6' 2""","200","NTDP","USA U-18",""
"6","David Jiricek","https://www.nhl.com/player/david-jiricek-8483460","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","1","6","CHI-CBJ","D","CZE","6' 3""","CZREP","Plzen","189"
"7","Kevin Korchinski","https://www.nhl.com/player/kevin-korchinski-8483466","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","1","7","OTT-CHI","D","CAN","6' 2""","WHL","Seattle","185"
"8","Marco Kasper","https://www.nhl.com/player/marco-kasper-8483464","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","1","8","C","AUT","6' 1""","187","SWEDEN","Rogle",""
"9","Matt Savoie","https://www.nhl.com/player/matt-savoie-8483512","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","1","9","C","CAN","5' 9""","170","WHL","Winnipeg",""
"10","Pavel Mintyukov","https://www.nhl.com/player/pavel-mintyukov-8483490","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","1","10","D","RUS","6' 2""","194","OHL","Saginaw",""
