"Year","Player","Team","rt-td 3","rt-td 4","rt-td 5","rt-td 6","Amateur  League","Amateur Team"
"2023","Connor Bedard","Chicago Blackhawks","C","CAN","5' 10""","185","WHL","Regina"
"2022","Juraj Slafkovsky","Montréal Canadiens","LW","SVK","6' 4""","229","FINLAND","TPS"
"2021","Owen Power","Buffalo Sabres","D","CAN","6' 6""","213","BIG10","Michigan"
"2020","Alexis Lafrenière","New York Rangers","LW","CAN","6' 1""","193","QMJHL","Rimouski"
"2019","Jack Hughes","New Jersey Devils","C","USA","5' 10""","171","NTDP","USA U-18"
"2018","Rasmus Dahlin","Buffalo Sabres","D","SWE","6' 2""","185","SWEDEN","Frolunda"
"2017","Nico Hischier","New Jersey Devils","C","CHE","6' 1""","179","QMJHL","Halifax"
"2016","Auston Matthews","Toronto Maple Leafs","C","USA","6' 2""","216","SWISS","Zurich"
"2015","Connor McDavid","Edmonton Oilers","C","CAN","6' 0""","195","OHL","Erie"
"2014","Aaron Ekblad","Florida Panthers","D","CAN","6' 3""","216","OHL","Barrie"
"2013","Nathan MacKinnon","Colorado Avalanche","C","CAN","6' 0""","182","QMJHL","Halifax"
"2012","Nail Yakupov","Edmonton Oilers","RW","RUS","5' 11""","185","OHL","Sarnia"
"2011","Ryan Nugent-Hopkins","Edmonton Oilers","C","CAN","6' 0""","171","WHL","Red Deer"
"2010","Taylor Hall","Edmonton Oilers","LW","CAN","6' 1""","194","OHL","Windsor"
"2009","John Tavares","New York Islanders","C","CAN","6' 0""","202","OHL","London"
"2008","Steven Stamkos","Tampa Bay Lightning","C","CAN","6' 1""","188","OHL","Sarnia"
"2007","Patrick Kane","Chicago Blackhawks","RW","USA","5' 10""","178","OHL","London"
"2006","Erik Johnson","St. Louis Blues","D","USA","6' 4""","232","USA","USA U-18"
"2005","Sidney Crosby","Pittsburgh Penguins","C","CAN","5' 11""","200","QMJHL","Rimouski"
"2004","Alex Ovechkin","Washington Capitals","LW","RUS","6' 2""","233","RUS","Dynamo"
"2003","Marc-Andre Fleury","Pittsburgh Penguins","PIT (from FLA)","G","CAN","6' 2""","QMJHL","Cape Breton"
"2002","Rick Nash","Columbus Blue Jackets","CBJ (from FLA)","LW","CAN","6' 4""","OHL","London"
"2001","Ilya Kovalchuk","Atlanta Thrashers","F","RUS","6' 3""","230","RUSSIA-1","Spartak"
"2000","Rick DiPietro","New York Islanders","G","USA","6' 1""","190","NCAA","Boston University"
"1999","Patrik Stefan","Atlanta Thrashers","C","CZE","6' 2""","205","IHL","Long Beach Ice Dogs"
"1998","Vincent Lecavalier","Tampa Bay Lightning","C","CAN","6' 4""","208","QMJHL","Rimouski Oceanic"
"1997","Joe Thornton","Boston Bruins","C","CAN","6' 4""","230","OHL","Sault Ste. Marie Greyhounds"
"1996","Chris Phillips","Ottawa Senators","D","CAN","6' 3""","220","WHL","Prince Albert Raiders"
